Date,Open,Close
2008-03-01,43.55,42.81
2008-04-01,43.56,45.26
2008-05-01,45.19,46.46
2008-06-01,46.27,41.74
2008-07-01,41.21,41.53
2008-08-01,41.88,42.76
2008-09-01,43.2,37.93
2008-10-01,37.94,30
2008-11-01,29.84,27.11
2008-12-01,26.54,27.8
2009-01-01,27.33,25.48
2009-02-01,25.1,22.62
2009-03-01,22.1,24.77
2009-04-01,24.65,29.4
2009-05-01,29.41,31.3
2009-06-01,31.74,30.81
2009-07-01,31.05,33.64
2009-08-01,34,35.54
2009-09-01,35.41,37.3
2009-10-01,37.19,35.92
2009-11-01,36.05,37.91
2009-12-01,38.39,39.53
2010-01-01,39.91,38.22
2010-02-01,38.39,39.82
2010-03-01,39.98,42.57
2010-04-01,42.9,43.7
2010-05-01,43.82,40.48
2010-06-01,40,37.8
2010-07-01,37.8,40.58
2010-08-01,41.26,38.65
2010-09-01,39.22,42.38
2010-10-01,42.72,43.89
2010-11-01,44.02,44.25
2010-12-01,44.85,47.31
2011-01-01,47.72,48.31
2011-02-01,48.63,50.25
2011-03-01,50.5,50.46
2011-04-01,50.8,52.04
2011-05-01,52.28,51.72
2011-06-01,51.66,50.62
2011-07-01,50.65,48.79
2011-08-01,49.66,45.69
2011-09-01,45.66,41.4
2011-10-01,41.08,46.81
2011-11-01,45.45,46.4
2011-12-01,46.39,46.28
2012-01-01,47.14,48.91
2012-02-01,49.32,50.87
2012-03-01,51.03,51.87
2012-04-01,51.82,51.48
2012-05-01,51.48,47.88
2012-06-01,47.01,49.52
2012-07-01,49.74,49.58
2012-08-01,49.89,51.1
2012-09-01,51.06,52.18
2012-10-01,52.4,51.75
2012-11-01,51.88,52.41
2012-12-01,52.68,53.32
2013-01-01,54.37,56.79
2013-02-01,57.17,57.34
2013-03-01,57.21,59.64
2013-04-01,59.7,60.65
2013-05-01,60.51,62.28
2013-06-01,62.41,61.27
2013-07-01,61.65,64.72
2013-08-01,65.3,62.83
2013-09-01,63.53,65.2
2013-10-01,65.31,67.99
2013-11-01,68.21,69.5
2013-12-01,69.53,71.25
2014-01-01,71.04,69.14
2014-02-01,68.99,72.83
2014-03-01,72.26,72.99
2014-04-01,73.29,73.27
2014-05-01,73.27,74.85
2014-06-01,74.96,76.71
2014-07-01,76.87,74.92
2014-08-01,74.8,78.07
2014-09-01,78.21,75.79
2014-10-01,75.73,78.08
2014-11-01,78.26,80.16
2014-12-01,79.82,80.05
2015-01-01,80.38,77.71
2015-02-01,78.04,82.16
2015-03-01,82.27,81.05
2015-04-01,80.99,81.38
2015-05-01,81.57,81.97
2015-06-01,82.25,79.8
2015-07-01,80.52,80.57
2015-08-01,80.59,76.17
2015-09-01,74.42,73.56
2015-10-01,73.6,78.7
2015-11-01,78.91,78.94
2015-12-01,79.16,76.64
2016-01-01,75.4,72.38
2016-02-01,71.83,73.1
2016-03-01,73.71,78.53
2016-04-01,78.08,79.51
2016-05-01,79.72,80.59
2016-06-01,80.25,80.35
2016-07-01,80.34,83.68
2016-08-01,83.64,83.81
2016-09-01,83.85,83.59
2016-10-01,83.34,81.55
2016-11-01,81.75,85.82
2016-12-01,86.05,86.64
2017-01-01,87.27,88.38
2017-02-01,88.56,91.15
2017-03-01,91.85,90.82
2017-04-01,90.9,91.42
2017-05-01,91.63,91.93
2017-06-01,92.13,92.68
2017-07-01,93.14,94.16
2017-08-01,94.41,93.22
2017-09-01,93.44,95.54
2017-10-01,95.59,96.58
2017-11-01,96.9,100.25
2017-12-01,100.27,101.03
2018-01-01,101.34,105.46
2018-02-01,105.12,100.83
2018-03-01,100.82,99.48
2018-04-01,99.28,99.85
2018-05-01,99.66,101.3
2018-06-01,101.81,101.89
2018-07-01,101.31,105.05
2018-08-01,104.94,107.11
2018-09-01,107,106.81
2018-10-01,107.23,99.07
2018-11-01,99.32,101.66
2018-12-01,103.04,91.4
2019-01-01,90.06,100.37
2019-02-01,100.5,104.05
2019-03-01,104.77,104.44
2019-04-01,105.19,108.19
2019-05-01,108.29,100.69
2019-06-01,100.75,107.8
2019-07-01,109,108.71
2019-08-01,108.67,105.16
2019-09-01,104.49,108.08
2019-10-01,108.26,109.41
2019-11-01,110,113.13
2019-12-01,113.16,115.72
