Date,Open,Close
2008-03-01,62.33,61.65
2008-04-01,62.5,65.15
2008-05-01,65.12,68.3
2008-06-01,68.51,62.53
2008-07-01,61.83,63.44
2008-08-01,63.77,65.48
2008-09-01,66.39,59.65
2008-10-01,59.14,46.61
2008-11-01,46.51,41.29
2008-12-01,40.59,42.47
2009-01-01,42.74,38.37
2009-02-01,37.72,33.76
2009-03-01,32.94,36.61
2009-04-01,36.19,43.44
2009-05-01,43.56,45.89
2009-06-01,46.21,45.75
2009-07-01,46.11,50.12
2009-08-01,50.56,52.26
2009-09-01,52,55.55
2009-10-01,55.53,52.02
2009-11-01,52.36,53.73
2009-12-01,54.4,57.35
2010-01-01,58.16,55.42
2010-02-01,55.62,58.09
2010-03-01,58.61,62.99
2010-04-01,63.5,66.51
2010-05-01,66.86,61.35
2010-06-01,60.62,56.6
2010-07-01,56.58,60.67
2010-08-01,61.73,56.64
2010-09-01,57.49,63.44
2010-10-01,64.06,66.03
2010-11-01,66.45,68.13
2010-12-01,69.44,72.63
2011-01-01,73.38,73.14
2011-02-01,73.72,77.18
2011-03-01,77.5,78.99
2011-04-01,79.55,81.31
2011-05-01,81.81,79.72
2011-06-01,79.63,78.05
2011-07-01,78.16,75.22
2011-08-01,76.16,68.94
2011-09-01,68.95,61.37
2011-10-01,60.73,70.75
2011-11-01,67.99,70.44
2011-12-01,70.12,69.67
2012-01-01,71.22,74.51
2012-02-01,75.25,76.95
2012-03-01,77.33,78.72
2012-04-01,78.46,77.92
2012-05-01,77.99,72.68
2012-06-01,71,76.04
2012-07-01,76.38,75.28
2012-08-01,75.67,77.96
2012-09-01,77.68,80.14
2012-10-01,80.42,78.99
2012-11-01,79.1,79.98
2012-12-01,80.58,80.9
2013-01-01,82.85,86.04
2013-02-01,86.69,87.12
2013-03-01,86.63,91.15
2013-04-01,91.14,91.42
2013-05-01,91.17,94.71
2013-06-01,95,93.71
2013-07-01,94.34,100.07
2013-08-01,101,96.83
2013-09-01,98.12,102.49
2013-10-01,102.27,105.75
2013-11-01,105.95,108.62
2013-12-01,108.77,109.95
2014-01-01,109.69,107.69
2014-02-01,107.49,113.16
2014-03-01,112.2,112.95
2014-04-01,113.06,110.19
2014-05-01,110.31,111.58
2014-06-01,112.01,117.12
2014-07-01,117.71,111.24
2014-08-01,111.33,116.87
2014-09-01,117.13,110.63
2014-10-01,110.52,115.63
2014-11-01,115.98,116.85
2014-12-01,116.49,116.66
2015-01-01,117.25,114.16
2015-02-01,114.38,120.78
2015-03-01,120.85,122.56
2015-04-01,122.16,120.06
2015-05-01,120.44,122.48
2015-06-01,123.27,121.47
2015-07-01,122.61,121.12
2015-08-01,121.15,114.06
2015-09-01,112.92,107.95
2015-10-01,107.97,114.08
2015-11-01,114.23,116.13
2015-12-01,116.75,110.64
2016-01-01,109,102.29
2016-02-01,101.68,103.08
2016-03-01,103.9,111.49
2016-04-01,110.77,113.46
2016-05-01,113.81,115.6
2016-06-01,115.19,115.68
2016-07-01,115.73,121.47
2016-08-01,121.57,122.29
2016-09-01,122.31,122.18
2016-10-01,121.85,117.22
2016-11-01,117.46,127.26
2016-12-01,127.93,128.96
2017-01-01,130.3,130.93
2017-02-01,131.71,133.97
2017-03-01,135.48,133.28
2017-04-01,133.41,134.42
2017-05-01,134.79,132.93
2017-06-01,133.29,135.54
2017-07-01,136.1,137.15
2017-08-01,137.71,135.87
2017-09-01,136.08,141.32
2017-10-01,141.41,143.53
2017-11-01,144.34,147.91
2017-12-01,148,147.8
2018-01-01,148.33,151.78
2018-02-01,151.48,145.77
2018-03-01,145.54,146.92
2018-04-01,146.57,147.47
2018-05-01,147.29,154.99
2018-06-01,156.08,155.67
2018-07-01,154.84,158.5
2018-08-01,158.56,165.66
2018-09-01,165.47,162.58
2018-10-01,163.25,146.13
2018-11-01,146.68,149.33
2018-12-01,151.54,131.99
2019-01-01,130.31,147.45
2019-02-01,147.8,154.61
2019-03-01,155.82,152.8
2019-04-01,153.92,158.28
2019-05-01,158.72,146.92
2019-06-01,146.96,156.66
2019-07-01,158.6,158.54
2019-08-01,158.86,152.25
2019-09-01,151.17,153.89
2019-10-01,154.53,156.43
2019-11-01,157.38,163
2019-12-01,163.41,165.64
