Date,Open,Close
2004-02-01,49.62,50.18
2004-03-01,50.39,49.2
2004-04-01,49.45,48.46
2004-05-01,48.64,49.05
2004-06-01,49.1,49.75
2004-07-01,49.36,48
2004-08-01,47.9,48.13
2004-09-01,48.12,48.59
2004-10-01,48.99,49.3
2004-11-01,49.47,51.55
2004-12-01,51.76,53.19
2005-01-01,53.3,51.67
2005-02-01,51.77,52.87
2005-03-01,53.09,51.8
2005-04-01,51.98,50.65
2005-05-01,51,52.69
2005-06-01,52.7,52.76
2005-07-01,52.71,54.59
2005-08-01,54.88,54.08
2005-09-01,54.07,54.37
2005-10-01,54.53,53.49
2005-11-01,53.45,55.55
2005-12-01,55.96,55.49
2006-01-01,55.65,56.9
2006-02-01,57.03,57.02
2006-03-01,57.26,57.75
2006-04-01,57.93,58.23
2006-05-01,58.41,56.62
2006-06-01,56.69,56.56
2006-07-01,56.65,56.75
2006-08-01,56.59,57.99
2006-09-01,58.29,59.25
2006-10-01,59.33,61.17
2006-11-01,61.43,62.53
2006-12-01,62.62,62.95
2007-01-01,63.06,64.09
2007-02-01,64.32,62.93
2007-03-01,61.64,63.33
2007-04-01,63.39,66.1
2007-05-01,66.26,68.46
2007-06-01,68.75,66.97
2007-07-01,67.3,64.8
2007-08-01,65.18,65.96
2007-09-01,65.95,68.21
2007-10-01,68.41,69.33
2007-11-01,68.48,66.56
2007-12-01,68.34,65.7
2008-01-01,66.26,61.65
2008-02-01,61.99,60.02
2008-03-01,59.91,59.49
2008-04-01,60.09,62.31
2008-05-01,62.3,63.38
2008-06-01,63.27,57.97
2008-07-01,57.43,57.44
2008-08-01,57.55,58.08
2008-09-01,58.82,52.63
2008-10-01,51.97,43.59
2008-11-01,43.5,40.27
2008-12-01,39.14,40.75
2009-01-01,40.73,37.48
2009-02-01,36.87,33.52
2009-03-01,32.71,36.02
2009-04-01,35.64,39.66
2009-05-01,39.69,41.93
2009-06-01,42.45,41.72
2009-07-01,41.93,44.85
2009-08-01,45.35,46.51
2009-09-01,46.23,48.07
2009-10-01,47.94,47.06
2009-11-01,47.32,49.9
2009-12-01,50.35,50.67
2010-01-01,51.12,48.92
2010-02-01,49.23,50.44
2010-03-01,50.65,53.3
2010-04-01,53.68,54.17
2010-05-01,54.44,49.81
2010-06-01,49.39,46.89
2010-07-01,46.89,50.21
2010-08-01,50.99,47.93
2010-09-01,48.58,52.08
2010-10-01,52.48,54.14
2010-11-01,54.42,54.22
2010-12-01,55.02,57.61
2011-01-01,58.06,58.94
2011-02-01,59.32,60.97
2011-03-01,61.17,60.77
2011-04-01,61.14,62.59
2011-05-01,62.91,61.96
2011-06-01,61.78,60.59
2011-07-01,60.6,59.37
2011-08-01,60.07,55.99
2011-09-01,55.99,51.65
2011-10-01,51.25,57.35
2011-11-01,55.75,57.1
2011-12-01,56.99,57.3
2012-01-01,58.37,60.09
2012-02-01,60.53,62.64
2012-03-01,62.91,64.43
2012-04-01,64.41,64.04
2012-05-01,64.04,60.1
2012-06-01,59.13,62.1
2012-07-01,62.28,62.8
2012-08-01,63.12,64.38
2012-09-01,64.35,65.69
2012-10-01,65.88,64.53
2012-11-01,64.64,64.94
2012-12-01,65.29,65.16
