Date,value
1928-01-01,14.89
1928-04-01,15.8
1928-07-01,14.83
1928-10-01,15.71
1929-01-01,17.88
1929-04-01,17.29
1929-07-01,18.63
1929-10-01,15
1930-01-01,15.72
1930-04-01,19.3
1930-07-01,18.77
1930-10-01,17.46
1931-01-01,18.28
1931-04-01,19.1
1931-07-01,19.61
1931-10-01,17.26
1932-01-01,14.09
1932-04-01,11.43
1932-07-01,13.26
1932-10-01,16.98
1933-01-01,16.52
1933-04-01,19.35
1933-07-01,23.14
1933-10-01,20.36
1934-01-01,24.82
1934-04-01,22.26
1934-07-01,18.08
1934-10-01,17.98
1935-01-01,12.47
1935-04-01,11.46
1935-07-01,14.58
1935-10-01,16.39
1936-01-01,18.11
1936-04-01,15.65
1936-07-01,16.86
1936-10-01,16.87
1937-01-01,16.06
1937-04-01,14.04
1937-07-01,13.92
1937-10-01,10.94
1938-01-01,11.02
1938-04-01,12.6
1938-07-01,20
1938-10-01,20.58
1939-01-01,17.32
1939-04-01,14.37
1939-07-01,14.86
1939-10-01,14.26
1940-01-01,12.17
1940-04-01,11.72
1940-07-01,9.53
1940-10-01,10.55
1941-01-01,9.5
1941-04-01,8.54
1941-07-01,8.73
1941-10-01,8.19
1942-01-01,8.47
1942-04-01,7.82
1942-07-01,9.11
1942-10-01,9.15
1943-01-01,9.78
1943-04-01,10.54
1943-07-01,10.81
1943-10-01,12.68
1944-01-01,12.74
1944-04-01,12.9
1944-07-01,14.12
1944-10-01,13.74
1945-01-01,14.03
1945-04-01,14.84
1945-07-01,14.81
1945-10-01,17.34
1946-01-01,20.63
1946-04-01,22.33
1946-07-01,20.18
1946-10-01,14
1947-01-01,12.33
1947-04-01,10.12
1947-07-01,10.17
1947-10-01,9.58
1948-01-01,8.59
1948-04-01,8.32
1948-07-01,7.66
1948-10-01,7.22
1949-01-01,6.4
1949-04-01,6.14
1949-07-01,6.29
1949-10-01,6.91
1950-01-01,7.19
1950-04-01,7.11
1950-07-01,6.56
1950-10-01,6.88
1951-01-01,7.65
1951-04-01,8.25
1951-07-01,8.92
1951-10-01,9.4
1952-01-01,10.06
1952-04-01,9.97
1952-07-01,10.76
1952-10-01,10.22
1953-01-01,10.86
1953-04-01,9.81
1953-07-01,9.71
1953-10-01,9.78
1954-01-01,10.23
1954-04-01,10.79
1954-07-01,11.74
1954-10-01,11.44
1955-01-01,12.38
1955-04-01,11.79
1955-07-01,12.65
1955-10-01,11.7
1956-01-01,11.88
1956-04-01,13.44
1956-07-01,14.27
1956-10-01,13.37
1957-01-01,13.15
1957-04-01,13.37
1957-07-01,13.81
1957-10-01,12.18
1958-01-01,13.28
1958-04-01,14.83
1958-07-01,16.39
1958-10-01,17.76
1959-01-01,17.83
1959-04-01,16.94
1959-07-01,17.64
1959-10-01,16.97
1960-01-01,16.4
1960-04-01,16.68
1960-07-01,16.98
1960-10-01,16.33
1961-01-01,19.99
1961-04-01,21.55
1961-07-01,21.89
1961-10-01,21.51
1962-01-01,20.43
1962-04-01,18.8
1962-07-01,16.5
1962-10-01,15.4
1963-01-01,17.84
1963-04-01,18.18
1963-07-01,17.46
1963-10-01,18.41
1964-01-01,18.43
1964-04-01,18.35
1964-07-01,18.61
1964-10-01,18.65
1965-01-01,18.71
1965-04-01,18.41
1965-07-01,17.12
1965-10-01,17.81
1966-01-01,17.39
1966-04-01,16.68
1966-07-01,15.17
1966-10-01,14.45
1967-01-01,15.89
1967-04-01,17.64
1967-07-01,17.88
1967-10-01,17.5
1968-01-01,16.96
1968-04-01,17.5
1968-07-01,17.27
1968-10-01,17.95
1969-01-01,17.7
1969-04-01,17.76
1969-07-01,15.59
1969-10-01,16.8
1970-01-01,15.1
1970-04-01,14.77
1970-07-01,14.56
1970-10-01,16.23
1971-01-01,18.37
1971-04-01,19.54
1971-07-01,17.6
1971-10-01,16.53
1972-01-01,17.89
1972-04-01,18.04
1972-07-01,17.49
1972-10-01,17.38
1973-01-01,17.06
1973-04-01,14.8
1973-07-01,14.07
1973-10-01,13.27
1974-01-01,11.55
1974-04-01,10.33
1974-07-01,8.71
1974-10-01,8.31
1975-01-01,9.11
1975-04-01,10.97
1975-07-01,11.44
1975-10-01,11.19
1976-01-01,11.65
1976-04-01,10.99
1976-07-01,10.83
1976-10-01,10.38
1977-01-01,10.12
1977-04-01,9.45
1977-07-01,9.23
1977-10-01,8.48
1978-01-01,8.17
1978-04-01,8.62
1978-07-01,8.7
1978-10-01,7.55
1979-01-01,7.51
1979-04-01,7.28
1979-07-01,7.1
1979-10-01,6.85
1980-01-01,7.47
1980-04-01,7.11
1980-07-01,8.31
1980-10-01,8.6
1981-01-01,8.89
1981-04-01,8.85
1981-07-01,8.57
1981-10-01,7.94
1982-01-01,8.13
1982-04-01,8.22
1982-07-01,7.9
1982-10-01,10.58
1983-01-01,11.7
1983-04-01,13.06
1983-07-01,12.22
1983-10-01,11.66
1984-01-01,10.71
1984-04-01,9.88
1984-07-01,9.1
1984-10-01,9.98
1985-01-01,10.96
1985-04-01,11.52
1985-07-01,12.54
1985-10-01,12.99
1986-01-01,14.59
1986-04-01,16.01
1986-07-01,15.9
1986-10-01,16.85
1987-01-01,18.15
1987-04-01,20
1987-07-01,20.09
1987-10-01,14.39
1988-01-01,13.83
1988-04-01,12.06
1988-07-01,11.97
1988-10-01,11.75
1989-01-01,11.92
1989-04-01,12.28
1989-07-01,14.61
1989-10-01,14.88
1990-01-01,15.19
1990-04-01,15.56
1990-07-01,16.38
