Date,value
1927-12-01,15.91
1928-01-01,14.89
1928-02-01,14.63
1928-03-01,16.34
1928-04-01,15.8
1928-05-01,16
1928-06-01,15.31
1928-07-01,14.83
1928-08-01,15.93
1928-09-01,16.14
1928-10-01,15.71
1928-11-01,17.59
1928-12-01,17.64
1929-01-01,17.88
1929-02-01,17.77
1929-03-01,17.73
1929-04-01,17.29
1929-05-01,16.55
1929-06-01,18.27
1929-07-01,18.63
1929-08-01,20.46
1929-09-01,19.46
1929-10-01,15
1929-11-01,12.99
1929-12-01,13.32
1930-01-01,15.72
1930-02-01,16.06
1930-03-01,16.66
1930-04-01,19.3
1930-05-01,18.98
1930-06-01,15.86
1930-07-01,18.77
1930-08-01,18.91
1930-09-01,16.45
1930-10-01,17.46
1930-11-01,17.08
1930-12-01,15.81
1931-01-01,18.28
1931-02-01,20.38
1931-03-01,18.97
1931-04-01,19.1
1931-05-01,16.48
1931-06-01,18.77
1931-07-01,19.61
1931-08-01,19.8
1931-09-01,13.87
1931-10-01,17.26
1931-11-01,15.57
1931-12-01,13.31
1932-01-01,14.09
1932-02-01,14.8
1932-03-01,13.05
1932-04-01,11.43
1932-05-01,8.76
1932-06-01,8.69
1932-07-01,13.26
1932-08-01,18.24
1932-09-01,17.57
1932-10-01,16.98
1932-11-01,15.98
1932-12-01,16.8
1933-01-01,16.52
1933-02-01,13.48
1933-03-01,13.93
1933-04-01,19.35
1933-05-01,22.42
1933-06-01,25.37
1933-07-01,23.14
1933-08-01,25.79
1933-09-01,22.86
1933-10-01,20.36
1933-11-01,22.45
1933-12-01,22.95
1934-01-01,24.82
1934-02-01,23.91
1934-03-01,23.89
1934-04-01,22.26
1934-05-01,20.45
1934-06-01,20.87
1934-07-01,18.08
1934-08-01,19.06
1934-09-01,18.96
1934-10-01,17.98
1934-11-01,19.47
1934-12-01,19.39
1935-01-01,12.47
1935-02-01,11.97
1935-03-01,11.6
1935-04-01,11.46
1935-05-01,11.83
1935-06-01,12.63
1935-07-01,14.58
1935-08-01,14.89
1935-09-01,15.25
1935-10-01,16.39
1935-11-01,17.04
1935-12-01,17.67
1936-01-01,18.11
1936-02-01,18.42
1936-03-01,18.89
1936-04-01,15.65
1936-05-01,16.36
1936-06-01,16.86
1936-07-01,16.86
1936-08-01,17.01
1936-09-01,17.03
1936-10-01,16.87
1936-11-01,16.94
1936-12-01,16.84
1937-01-01,16.06
1937-02-01,16.3
1937-03-01,16.14
1937-04-01,14.04
1937-05-01,13.9
1937-06-01,13.16
1937-07-01,13.92
1937-08-01,13.15
1937-09-01,11.28
1937-10-01,10.94
1937-11-01,9.83
1937-12-01,9.34
1938-01-01,11.02
1938-02-01,11.69
1938-03-01,8.76
1938-04-01,12.6
1938-05-01,12.04
1938-06-01,15.01
1938-07-01,20
1938-08-01,19.45
1938-09-01,19.74
1938-10-01,20.58
1938-11-01,19.89
1938-12-01,20.64
1939-01-01,17.32
1939-02-01,17.89
1939-03-01,15.46
1939-04-01,14.37
1939-05-01,15.26
1939-06-01,14.29
