Date,Open,Close
2004-01-01,34,34.67
2004-02-01,34.72,35.33
2004-03-01,35.5,35
2004-04-01,35.1,34.17
2004-05-01,34.15,34.77
2004-06-01,34.65,35.74
2004-07-01,35.72,34.1
2004-08-01,33.97,34.07
2004-09-01,34.17,34.85
2004-10-01,35.03,35.68
2004-11-01,35.7,37.75
2004-12-01,37.92,39.04
2005-01-01,39.2,37.84
2005-02-01,37.9,38.64
2005-03-01,38.76,38.03
2005-04-01,38.2,36.81
2005-05-01,36.99,38.47
2005-06-01,38.5,38.97
2005-07-01,39.1,40.96
2005-08-01,41.05,40.6
2005-09-01,40.53,40.69
2005-10-01,40.7,39.6
2005-11-01,39.71,41.4
2005-12-01,41.68,41.48
2006-01-01,41.77,43.15
2006-02-01,43.24,43.3
2006-03-01,43.46,44.1
2006-04-01,44.17,44.48
2006-05-01,44.6,43.16
2006-06-01,43.21,42.91
2006-07-01,43.2,42.34
2006-08-01,42.05,43.5
2006-09-01,43.55,44.42
2006-10-01,44.5,46.09
2006-11-01,46.21,47.24
2006-12-01,47.34,47.34
2007-01-01,47.58,48.48
2007-02-01,48.8,48.25
2007-03-01,47.2,48.55
2007-04-01,48.58,50.69
2007-05-01,50.75,52.33
2007-06-01,52.59,51.2
2007-07-01,51.45,48.89
2007-08-01,49,48.93
2007-09-01,48.94,49.99
2007-10-01,50.1,50.55
2007-11-01,50.06,48.2
2007-12-01,48.15,47.18
2008-01-01,47.1,45.15
2008-02-01,45.23,43.79
2008-03-01,43.55,42.81
2008-04-01,43.56,45.26
2008-05-01,45.19,46.46
2008-06-01,46.27,41.74
2008-07-01,41.21,41.53
2008-08-01,41.88,42.76
2008-09-01,43.2,37.93
2008-10-01,37.94,30
2008-11-01,29.84,27.11
2008-12-01,26.54,27.8
2009-01-01,27.33,25.48
2009-02-01,25.1,22.62
2009-03-01,22.1,24.77
2009-04-01,24.65,29.4
2009-05-01,29.41,31.3
2009-06-01,31.74,30.81
2009-07-01,31.05,33.64
2009-08-01,34,35.54
2009-09-01,35.41,37.3
2009-10-01,37.19,35.92
2009-11-01,36.05,37.91
2009-12-01,38.39,39.53
2010-01-01,39.91,38.22
2010-02-01,38.39,39.82
2010-03-01,39.98,42.57
2010-04-01,42.9,43.7
2010-05-01,43.82,40.48
2010-06-01,40,37.8
2010-07-01,37.8,40.58
2010-08-01,41.26,38.65
2010-09-01,39.22,42.38
2010-10-01,42.72,43.89
2010-11-01,44.02,44.25
2010-12-01,44.85,47.31
2011-01-01,47.72,48.31
2011-02-01,48.63,50.25
2011-03-01,50.5,50.46
2011-04-01,50.8,52.04
2011-05-01,52.28,51.72
2011-06-01,51.66,50.62
2011-07-01,50.65,48.79
2011-08-01,49.66,45.69
2011-09-01,45.66,41.4
2011-10-01,41.08,46.81
2011-11-01,45.45,46.4
2011-12-01,46.39,46.28
2012-01-01,47.14,48.91
2012-02-01,49.32,50.87
2012-03-01,51.03,51.87
2012-04-01,51.82,51.48
2012-05-01,51.48,47.88
2012-06-01,47.01,49.52
2012-07-01,49.74,49.58
2012-08-01,49.89,51.1
2012-09-01,51.06,52.18
2012-10-01,52.4,51.75
2012-11-01,51.88,52.41
2012-12-01,52.68,53.32
2013-01-01,54.37,56.79
2013-02-01,57.17,57.34
2013-03-01,57.21,59.64
2013-04-01,59.7,60.65
2013-05-01,60.51,62.28
2013-06-01,62.41,61.27
2013-07-01,61.65,64.72
2013-08-01,65.3,62.83
2013-09-01,63.53,65.2
2013-10-01,65.31,67.99
2013-11-01,68.21,69.5
2013-12-01,69.53,71.25
2014-01-01,71.04,69.14
2014-02-01,68.99,72.83
2014-03-01,72.26,72.99
2014-04-01,73.29,73.27
2014-05-01,73.27,74.85
2014-06-01,74.96,76.71
2014-07-01,76.87,74.92
2014-08-01,74.8,78.07
2014-09-01,78.21,75.79
2014-10-01,75.73,78.08
2014-11-01,78.26,80.16
2014-12-01,79.82,80.05
2015-01-01,80.38,77.71
2015-02-01,78.04,82.16
2015-03-01,82.27,81.05
2015-04-01,80.99,81.38
2015-05-01,81.57,81.97
2015-06-01,82.25,79.8
2015-07-01,80.52,80.57
2015-08-01,80.59,76.17
2015-09-01,74.42,73.56
2015-10-01,73.6,78.7
2015-11-01,78.91,78.94
2015-12-01,79.16,76.64
2016-01-01,75.4,72.38
2016-02-01,71.83,73.1
2016-03-01,73.71,78.53
2016-04-01,78.08,79.51
2016-05-01,79.72,80.59
2016-06-01,80.25,80.35
2016-07-01,80.34,83.68
2016-08-01,83.64,83.81
2016-09-01,83.85,83.59
2016-10-01,83.34,81.55
2016-11-01,81.75,85.82
2016-12-01,86.05,86.64
2017-01-01,87.27,88.38
2017-02-01,88.56,91.15
2017-03-01,91.85,90.82
2017-04-01,90.9,91.42
2017-05-01,91.63,91.93
2017-06-01,92.13,92.68
2017-07-01,93.14,94.16
2017-08-01,94.41,93.22
2017-09-01,93.44,95.54
2017-10-01,95.59,96.58
2017-11-01,96.9,100.25
2017-12-01,100.27,101.03
2018-01-01,101.34,105.46
2018-02-01,105.12,100.83
2018-03-01,100.82,99.48
2018-04-01,99.28,99.85
2018-05-01,99.66,101.3
2018-06-01,101.81,101.89
2018-07-01,101.31,105.05
2018-08-01,104.94,107.11
2018-09-01,107,106.81
2018-10-01,107.23,99.07
2018-11-01,99.32,101.66
2018-12-01,103.04,91.4
2019-01-01,90.06,100.37
2019-02-01,100.5,104.05
2019-03-01,104.77,104.44
2019-04-01,105.19,108.19
2019-05-01,108.29,100.69
2019-06-01,100.75,107.8
2019-07-01,109,108.71
2019-08-01,108.67,105.16
2019-09-01,104.49,108.08
2019-10-01,108.26,109.41
2019-11-01,110,113.13
2019-12-01,113.16,115.72
2020-01-01,116.27,113.54
2020-02-01,114.14,103.47
2020-03-01,103.87,84.02
2020-04-01,80.74,96.14
2020-05-01,94.08,100.71
2020-06-01,100.54,101.76
2020-07-01,102.04,106.84
2020-08-01,107.02,111.4
2020-09-01,111.12,108.11
2020-10-01,108.65,107.51
2020-11-01,108.99,122.88
2020-12-01,124.42,127.54
2021-01-01,127.96,126.5
2021-02-01,127.54,134.2
2021-03-01,135.96,141.66
2021-04-01,142.14,148.28
2021-05-01,149.14,151.12
2021-06-01,152.19,150.73
2021-07-01,151.23,152.68
2021-08-01,153.38,156.3
2021-09-01,156.69,149.82
2021-10-01,150.58,157.76
2021-11-01,158.28,153.59
2021-12-01,155.92,162.75
2022-01-01,163.13,155.64
2022-02-01,155.7,154.25
2022-03-01,153.58,157.71
2022-04-01,158.42,147.45
2022-05-01,147.6,148.93
2022-06-01,149.58,134.23
2022-07-01,133.98,145.84
2022-08-01,145.11,140.76
2022-09-01,139.81,127.28
2022-10-01,128.67,139.56
2022-11-01,141.03,148.82
2022-12-01,149.62,141.25
2023-01-01,142.08,151.73
2023-02-01,150.94,146.6
2023-03-01,146.35,144.62
2023-04-01,144.72,145.14
2023-05-01,145.03,139.61
2023-06-01,139.87,149.64
2023-07-01,149.35,154.88
2023-08-01,154.18,149.92
2023-09-01,150.86,141.69
2023-10-01,141.25,135.83
2023-11-01,135.87,148.3
2023-12-01,148.16,157.8
2024-01-01,157.02,156.46
2024-02-01,156.79,162.79
2024-03-01,163,169.37
2024-04-01,169.6,161.2
2024-05-01,160.75,165.78
2024-06-01,166.1,164.58
2024-06-26,164.01,163.96
