Date,Open,Close
2004-01-01,85.09,87.04
2004-02-01,86.45,88.66
2004-03-01,88.46,89.55
2004-04-01,88.98,83.64
2004-05-01,83.1,83.1
2004-06-01,82.37,83.65
2004-07-01,83.35,84.59
2004-08-01,84.5,87.77
2004-09-01,87.7,88.25
2004-10-01,87.5,89.44
2004-11-01,88.75,86.94
2004-12-01,86.7,88.55
2005-01-01,88.18,91.71
2005-02-01,91.44,90.02
2005-03-01,89.54,89.33
2005-04-01,89.53,92.44
2005-05-01,92.15,95
2005-06-01,95.2,96.7
2005-07-01,96.04,93.11
2005-08-01,92.5,95.99
2005-09-01,95.31,92.2
2005-10-01,91.79,89.78
2005-11-01,89.43,90
2005-12-01,90,91.9
2006-01-01,91.59,90.67
2006-02-01,90.15,91.35
2006-03-01,90.77,86.87
2006-04-01,86.18,84.16
2006-05-01,83.67,83.67
2006-06-01,83.4,84.32
2006-07-01,83.9,85.81
2006-08-01,85.32,88.08
2006-09-01,87.62,89.41
2006-10-01,89.1,89.81
2006-11-01,89.61,91.53
2006-12-01,91.28,88.43
2007-01-01,89.22,87.55
2007-02-01,87.65,90.15
2007-03-01,90.28,88.28
2007-04-01,88.11,88.75
2007-05-01,88.58,86.38
2007-06-01,85.9,85.17
2007-07-01,84.81,87.66
2007-08-01,87.26,88.88
2007-09-01,88.83,88.72
2007-10-01,88.69,89.98
2007-11-01,89.96,94.38
2007-12-01,94.76,93.04
2008-01-01,93.25,94.99
2008-02-01,95,94.23
2008-03-01,93.67,95.89
2008-04-01,94.81,93.11
2008-05-01,93.44,90.28
2008-06-01,89.98,92.34
2008-07-01,92.69,91.67
2008-08-01,90.97,93.84
2008-09-01,92.98,94.88
2008-10-01,96.04,92.83
2008-11-01,92.72,105.72
2008-12-01,107.75,119.35
2009-01-01,120.05,103.75
2009-02-01,104.02,101.88
2009-03-01,102.22,105.71
2009-04-01,106.12,98.08
2009-05-01,97.12,94.17
2009-06-01,92.34,94.57
2009-07-01,93.42,94.81
2009-08-01,93.81,96.6
2009-09-01,95.82,98.66
2009-10-01,98.96,95.78
2009-11-01,95.51,96.63
2009-12-01,95.76,89.89
2010-01-01,89.84,92.31
2010-02-01,91.71,91.67
2010-03-01,91.33,89.5
2010-04-01,88.77,92.13
2010-05-01,91.42,96.5
2010-06-01,97.23,101.75
2010-07-01,101.57,100.48
2010-08-01,99.24,108.56
2010-09-01,107.02,105.51
2010-10-01,104.23,100.42
2010-11-01,100.8,98.41
2010-12-01,96.65,94.12
2011-01-01,93.2,91.22
2011-02-01,90.55,92.4
2011-03-01,91.52,92.13
2011-04-01,91.5,93.89
2011-05-01,93.32,96.69
2011-06-01,96.92,94.1
2011-07-01,94.13,97.92
2011-08-01,97.39,107.03
2011-09-01,107.47,120.8
2011-10-01,121.88,115.88
2011-11-01,118.71,117.88
2011-12-01,116.29,121.25
2012-01-01,119.42,120.85
2012-02-01,119.75,117.43
2012-03-01,116.17,112.2
2012-04-01,113,117.32
2012-05-01,117.43,127.6
2012-06-01,128.87,125.2
2012-07-01,125.45,129.7
2012-08-01,128.53,127.72
2012-09-01,126.92,124.22
2012-10-01,123.97,123.36
2012-11-01,122.77,124.79
2012-12-01,123.72,121.18
2013-01-01,119.76,117.32
2013-02-01,117.73,118.51
2013-03-01,118.84,117.76
2013-04-01,117.52,123.01
2013-05-01,123.46,114.45
2013-06-01,113.78,110.44
2013-07-01,109.73,107.7
2013-08-01,106.49,105.99
2013-09-01,104.59,106.4
2013-10-01,105.9,107.64
2013-11-01,106.97,104.45
2013-12-01,103.8,101.86
2014-01-01,101.72,108.28
2014-02-01,107.79,108.57
2014-03-01,108.88,109.1
2014-04-01,108.26,111.1
2014-05-01,110.88,114.1
2014-06-01,113.04,113.52
2014-07-01,112.5,113.98
2014-08-01,113.58,119.05
2014-09-01,117.28,116.27
2014-10-01,116.89,119.25
2014-11-01,118.9,122.49
2014-12-01,122.68,125.92
2015-01-01,126.29,138.28
2015-02-01,136.7,129.53
2015-03-01,129,130.69
2015-04-01,131.33,125.95
2015-05-01,124.73,122.71
2015-06-01,122.11,117.46
2015-07-01,115.82,122.53
2015-08-01,122.32,121.42
2015-09-01,121.64,123.54
2015-10-01,124.08,122.78
2015-11-01,121.78,121.45
2015-12-01,121.26,120.58
2016-01-01,121.93,127.3
2016-02-01,126.79,130.98
2016-03-01,130.82,130.61
2016-04-01,130.98,129.38
2016-05-01,128.66,130.16
2016-06-01,130.63,138.9
2016-07-01,140.81,141.56
2016-08-01,139.78,139.87
2016-09-01,138.62,137.51
2016-10-01,137.68,131.25
2016-11-01,130.16,120.24
2016-12-01,118.51,119.13
2017-01-01,118.41,120.1
2017-02-01,119.1,121.74
2017-03-01,119.44,120.71
2017-04-01,120.45,122.35
2017-05-01,121.69,124.4
2017-06-01,123.7,125.12
2017-07-01,125,124.04
2017-08-01,123.18,127.99
2017-09-01,127.31,124.76
2017-10-01,124.81,124.46
2017-11-01,124.35,125.12
2017-12-01,125.87,126.86
2018-01-01,126.49,122.73
2018-02-01,122.48,118.75
2018-03-01,118.43,121.9
2018-04-01,121.35,119.1
2018-05-01,118.77,121.22
2018-06-01,120.17,121.72
2018-07-01,121.74,119.7
2018-08-01,118.29,121
2018-09-01,119.96,117.27
2018-10-01,116.66,113.58
2018-11-01,112.85,115.33
2018-12-01,114.68,121.51
2019-01-01,121.66,121.97
2019-02-01,121.48,120.02
2019-03-01,119.33,126.44
2019-04-01,125.29,123.65
2019-05-01,123.69,131.83
2019-06-01,131.91,132.81
2019-07-01,132.57,132.89
2019-08-01,133.39,147.28
2019-09-01,147.09,143.08
2019-10-01,141.26,141.24
2019-11-01,140.73,140.42
2019-12-01,138.14,135.48
2020-01-01,136.79,145.9
2020-02-01,144.95,155.31
2020-03-01,155.3,164.97
2020-04-01,168.48,166.74
2020-05-01,167.5,163.59
2020-06-01,162.1,163.93
2020-07-01,162.81,171
2020-08-01,169.24,162.19
2020-09-01,161.76,163.26
2020-10-01,162.51,157.57
2020-11-01,158.7,160.02
2020-12-01,158.55,157.73
2021-01-01,156.67,152
2021-02-01,151.66,143.12
2021-03-01,140.66,135.45
2021-04-01,136.55,138.64
2021-05-01,138.7,138.44
2021-06-01,137.82,144.35
2021-07-01,143.98,149.52
2021-08-01,149.45,148.83
2021-09-01,149.27,144.32
2021-10-01,144.85,147.69
2021-11-01,145.8,151.59
2021-12-01,150.49,148.19
2022-01-01,146.41,142.39
2022-02-01,142.28,139.87
2022-03-01,140.36,132.08
2022-04-01,130.01,119.45
2022-05-01,117.86,116.56
2022-06-01,117.03,114.87
2022-07-01,115.9,117.43
2022-08-01,118.25,111.88
2022-09-01,109.87,102.45
2022-10-01,103.85,96.11
2022-11-01,97.38,102.73
2022-12-01,103.15,99.56
2023-01-01,102.2,107.17
2023-02-01,107.55,101.71
2023-03-01,100.82,106.37
2023-04-01,105.88,106.46
2023-05-01,105.27,102.99
2023-06-01,103.28,102.94
2023-07-01,102.84,100.05
2023-08-01,98.84,96.64
2023-09-01,95.8,88.69
2023-10-01,87.82,83.58
2023-11-01,84.04,91.56
2023-12-01,91.31,98.88
2024-01-01,98.23,96.66
2024-02-01,97.42,94.18
2024-03-01,93.44,94.62
2024-04-01,93.29,88.22
2024-05-01,88.6,90.45
2024-06-01,90.64,94.5
2024-06-26,93.28,93.15
